Record ID,Title,Subject,Institution,Journal,Publisher,Country,Author,URLS,ArticleType,RetractionDate,RetractionDOI,RetractionPubMedID,OriginalPaperDate,OriginalPaperDOI,OriginalPaperPubMedID,RetractionNature,Reason,Paywalled,Notes
17981,Emotion Regulation and Heterogeneity in Attention-Deficit/Hyperactivity Disorder,(HSC) Medicine - Pediatrics;(HSC) Medicine - Psychiatry;,Oregon Health and Science University; University of Oregon; University of New Orleans;,Journal of the American Academy of Child & Adolescent Psychiatry,Elsevier,United States,Erica D Musser;Hilary S Galloway-Long;Paul J Frick;Joel T Nigg,,Research Article;,2/26/2018 0:00,10.1016/j.jaac.2018.01.006,29496132.0,1/26/2013 0:00,10.1016/j.jaac.2012.11.009,23357443.0,Correction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;,No,
17978,Catalytic living ring-opening metathesis polymerization,(PHY) Chemistry;(PHY) Materials Science;,"Department of Chemistry, University of Fribourg, Chemin du Musée 9, Fribourg CH-1700, Switzerland;",Nature Chemistry,Springer - Nature Publishing Group,Switzerland,Amit A Nagarkar;Andreas F M Kilbinger,,Research Article;,4/11/2018 0:00,10.1038/s41557-018-0044-5,29643460.0,8/10/2015 0:00,10.1038/nchem.2320,26291943.0,Retraction,+Error in Analyses;+Error in Results and/or Conclusions;+Results Not Reproducible;,No,
17963,Variation in Parasympathetic Dysregulation Moderates Short-term Memory Problems in Childhood Attention-Deficit/Hyperactivity Disorder,(BLS) Neuroscience;(HSC) Medicine - Pediatrics;(HSC) Medicine - Psychiatry;,"Center for Children and Families, Department of Psychology, Florida International University, Miami, USA; Department of Behavioral Neuroscience, Oregon Health & Science University, Portland, USA; Department of Psychiatry, Oregon Health & Science University, Portland, USA;",Journal of Abnormal Child Psychology,Springer,United States,Anthony R Ward;Gabriela Alarcon;Joel T Nigg;Erica D Musser,,Research Article;,3/3/2018 0:00,10.1007/s10802-018-0406-x,29502305.0,7/29/2015 0:00,10.1007/s10802-015-0054-3,2621624.0,Correction,+Error in Analyses;+Error in Data;+Upgrade/Update of Prior Notice;,No,
17962,Emotion Regulation via the Autonomic Nervous System in Children with Attention-Deficit/Hyperactivity Disorder (ADHD),(BLS) Neuroscience;(HSC) Medicine - Pediatrics;(HSC) Medicine - Psychiatry;,"Psychology Department, University of Oregon, Eugene, USA; Psychology Department, Oregon Health & Science University, Portland, USA; Psychology Department, Central Michigan University, Mount Pleasant, USA;",Journal of Abnormal Child Psychology,Springer,United States,Erica D Musser;Richard W Backs;Colleen F Schmitt;Jennifer C Ablow;Jeffery R Measelle;Joel T Nigg,,Research Article;,1/26/2018 0:00,10.1007/s10802-018-0397-7,29372368.0,3/11/2011 0:00,10.1007/s10802-011-9499-1,21394506.0,Correction,+Error in Analyses;+Error in Data;,No,
17937,The cost-effectiveness of sacral nerve stimulation (SNS) for the treatment of idiopathic medically refractory overactive bladder (wet) in the UK,(B/T) Business - Economics;(HSC) Medicine - Neurology;(HSC) Medicine - Rehabilitation/Therapy;(HSC) Medicine - Urology/Nephrology;,"Medtronic Inc., Tolochenaz, Switzerland; Medtronic UK, Hertfordshire; Salford Royal Hospital, Salford; Institute ofUrology, University College London Hospital, London, UK;",BJU International,Wiley,Switzerland;United Kingdom,Silke Walleser Autiero;Natalie Hallas;Christopher D Betts;Jeremy L Ockrim,,Research Article;,3/30/2018 0:00,10.1111/bju.14204,30134061.0,11/19/2014 0:00,10.1111/bju.12972,25407358.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;,No,
17853,"The shale gas sorption capacity of transitional shales in the Ordos Basin, NW China",(PHY) Energy;,"School of Earth Sciences, The Ohio State University, Columbus, OH 43210, USA; Shaanxi Yanchang Petroleum (Group) Corp. Ltd., Xi’an 710075, China; State Key Laboratory of Petroleum Resources and Prospecting, China University of Petroleum, Beijing 102249, China;",Fuel,Elsevier,China;United States,Fengyang Xiong;Xiangzen Wang;Mohammad Amin Amooie;Mohammad Reza Soltanian;Zhenxue Jiang;Joachim Moortgat,,Research Article;,4/3/2018 0:00,10.1016/j.fuel.2018.03.072,0.0,7/14/2017 0:00,10.1016/j.fuel.2017.07.030,0.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Miscommunication by Author;,No,
17705,The moderating factors of neuroticism and extraversion in pain anticipation,(SOC) Psychology;,"Psychology Department, The University of Buckingham, Buckingham, UK;",British Journal of Pain,SAGE Publications,United Kingdom,Jenna L Gillett;Emily Mattacola,,Research Article;,3/15/2018 0:00,10.1177/2049463718766270,29799539.0,8/23/2017 0:00,10.1177/2049463717728039,0.0,Retraction,+Error in Analyses;+Error in Data;+Unreliable Results;,No,
17659,Toeplitz Matrices Whose Elements are the Coefficients of Starlike and Close-to-Convex Functions,(PHY) Mathematics;,"Department of Mathematics, Swansea University, Swansea, UK; Institute of Mathematical Sciences, University of Malaya, Kuala Lumpur, Malaysia;",Bulletin of the Malaysian Mathematical Sciences Society,Springer,Malaysia;United Kingdom,D K Thomas;S Abdul Halim,,Research Article;,3/1/2018 0:00,10.1007/s40840-018-0620-2,0.0,5/25/2016 0:00,10.1007/s40840-016-0385-4,0.0,Retraction,+Error in Analyses;,No,
17623,Minimally Invasive Cardiac Surgery in China: Multi-Center Experience,(HSC) Medicine - Cardiology;(HSC) Medicine - Surgery;,"Department of Cardiac Surgery, Beijing Institute of Heart, Lung and Blood Vessel Diseases, Beijing Anzhen Hospital, Capital Medical University, Beijing, China (mainland)",Medical Science Monitor: International Medical Journal of Experimental and Clinical Research,"International Scientific Information, Inc",China,Kun Hua;Yang Zhao;Ran Dong;Taoshuai Liu,,Clinical Study;,3/12/2018 0:00,10.12659/MSM.909667,29529014.0,1/22/2018 0:00,10.12659/MSM.905408,9353871.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;+Error in Text;,No,
17599,Angiopoietin-Like 4 Confers Resistance to Hypoxia/Serum Deprivation-Induced Apoptosis through PI3K/Akt and ERK1/2 Signaling Pathways in Mesenchymal Stem Cells,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Biology - Molecular;,"Key Laboratories of Education Ministry for Myocardial Ischemia Mechanism and Treatment, Harbin, Province Heilongjiang, China; Department of Cardiology, The Second Affiliated Hospital of Harbin Medical University, Harbin, Province Heilongjiang, China;",PLoS One,PLoS,China,Meng Hou;Jinjin Cui;Jingjin Liu;Fang Liu;Rui Jiang;Kai Liu;Yongshun Wang;Li Yin;Wenhua Liu;Bo Yu,http://retractionwatch.com/2018/03/29/caught-our-notice-duplicates-errors-prompt-two-retractions-for-same-author/,Research Article;,3/12/2018 0:00,10.1371/journal.pone.0194448,0.0,1/21/2014 0:00,10.1371/journal.pone.0085808,24465718.0,Retraction,+Concerns/Issues About Data;+Concerns/Issues About Image;+Duplication of Image;+Error in Analyses;+Error in Methods;,No,
17587,Association between serum vitamin D levels and the risk of kidney stone: evidence from a meta-analysis,(BLS) Toxicology;(HSC) Medicine - Urology/Nephrology;(HSC) Nutrition;,"Department of Urology, Beijing Jishuitan Hospital, No. 31, East Xinjiekou Street, Xicheng District, 100035 Beijing, PR China;",Nutrition Journal,Springer - Biomed Central (BMC),China,Hai Wang;Libo Man;Guizhong Li;Guanglin Huang;Ning Liu,,Meta-Analysis;,3/9/2018 0:00,10.1186/s12937-018-0344-z,29523143.0,3/31/2016 0:00,10.1186/s12937-016-0148-y,27030241.0,Retraction,+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Plagiarism of Article;,No,
17577,Subtyping attention-deficit/hyperactivity disorder using temperament dimensions: toward biologically based nosologic criteria,(BLS) Anatomy/Physiology;(BLS) Neuroscience;(HSC) Medicine - Pediatrics;(HSC) Medicine - Psychiatry;,"Division of Psychology, Department of Psychiatry, Oregon Health and Science University, Portland; Department of Behavioral Neuroscience, Oregon Health and Science University, Portland; Advanced Imaging Research Center, Oregon Health and Science University, Portland; Division of Clinical Science, Department of Psychology, Florida International University, Miami; Functional Neuroimaging Laboratory, Brigham and Women’s Hospital, Harvard Medical School, Boston, Massachusetts;",JAMA Psychiatry,American Medical Association,United States,Sarah L Karalunas;Damien Fair;Erica D Musser;Kamari Aykes;Swathi P Iyer;Joel T Nigg,http://retractionwatch.com/2018/04/06/authors-retract-replace-highly-cited-paper-on-adhd-in-kids/,Clinical Study;,3/7/2018 0:00,10.1001/jamapsychiatry.2018.0013,29516086.0,7/9/2014 0:00,10.1001/jamapsychiatry.2014.763,25006969.0,Retraction,+Error in Analyses;+Error in Methods;+Error in Results and/or Conclusions;+Retract and Replace;,No,
17571,Research Productivity and Rankings of Anesthesiology Departments in Canada and the United States: The Relationship Between the h-Index and Other Common Metrics,(B/T) Business - Management;(HSC) Biostatistics/Epidemiology;(HSC) Medicine - Anesthesia/Anaesthesia;,"Faculty of Medicine, the University of Ottawa, Ottawa, Ontario, Canada; Obstetrics and Maternal Neonatal Investigations Research Group, Ottawa Hospital Research Institute, Ottawa, Ontario, Canada; Department of Anesthesiology and Pain Medicine, the Ottawa Hospital, University of Ottawa, Ottawa, Ontario, Canada; Clinical Epidemiology Program, Ottawa Hospital Research Institute, University of Ottawa, Ottawa, Ontario, Canada;",Anesthesia & Analgesia,Wolters Kluwer,Canada,Alexandra Bunting;Sepand Alavifard;Benjamin Walker;Donald R Miller;Tim Ramsay;Sylvain Boet,,Research Article;,3/5/2018 0:00,10.1213/ANE.0000000000002915,0.0,9/28/2017 0:00,10.1213/ANE.0000000000002508,28961558.0,Retraction,+Error in Analyses;+Error in Data;+Error in Methods;+Unreliable Results;+Upgrade/Update of Prior Notice;,No,
17570,Protein kinase C is a calcium sensor for presynaptic short-term plasticity,(BLS) Biochemistry;(BLS) Biology - Cellular;(BLS) Biology - Molecular;(BLS) Neuroscience;,"Harvard Medical School, United States; University of California, Davis, United States; University of Oslo, Norway;",eLife,eLife Sciences Publications,Norway;United States,Diasynou Fioravante;YunXiang Chu;Arthur P H de Jong;Michael Leitges;Pascal S Kaeser;Wade G Regehr,,Research Article;,3/7/2018 0:00,10.7554/eLife.35974,29512487.0,8/5/2014 0:00,10.7554/eLife.03011,25097249.0,Retraction,+Error in Analyses;+Unreliable Data;+Unreliable Results;,No,
17552,Profiling nutritional gatekeepers: Three methods for differentiating influential cooks,(B/T) Business - Marketing;(BLS) Nutrition;,"Charles H. Dyson School of Applied Economics and Management, 475 Warren Hall, Cornell University, Ithaca, NY 14853, USA;",Food Quality and Preference,Elsevier,United States,Brian Wansink,http://retractionwatch.com/?s=brain+wansink,Research Article;,3/3/2018 0:00,10.1016/j.foodqual.2017.11.003,0.0,2/6/2003 0:00,10.1016/S0950-3293(02)00088-5,0.0,Correction,+Concerns/Issues About Data;+Error in Analyses;+Error in Data;,No,
17547,Sadness Impairs Color Perception,(SOC) Psychology;,University of Rochester in New York,Psychological Science,SAGE Publications,United States,Christopher A Thortenson;Adam D Pazda;Andrew J Elliot,http://retractionwatch.com/2015/11/05/got-the-blues-you-can-still-see-blue-after-all-paper-on-sadness-and-color-perception-retracted/,Research Article;,11/1/2015 0:00,10.1177/0956797615597672,0.0,8/25/2015 0:00,10.1177/0956797615597672,0.0,Retraction,+Doing the Right Thing;+Error in Analyses;+Error in Data;,Yes,
